LPG|La Plata|AR|-34.916667|-57.950000
ING|Lago Argentino|AR|-50.333333|-72.250000
LHS|Las Heras|AR|-46.533333|-68.950000
LLS|Las Lomitas|AR|-24.700000|-60.600000
LCP|Loncopue|AR|-38.066667|-70.616667
LMD|Los Menucos|AR|-40.833333|-68.133333
LGS|Malargue|AR|-35.493611|-69.574167
MQD|Maquinchao|AR|-41.250000|-68.733333
MDQ|Mar Del Plata|AR|-37.934167|-57.573333
MDX|Mercedes|AR|-29.216944|-58.083333
MJR|Miramar|AR|-38.216667|-57.866667
MCS|Monte Caseros|AR|-30.266667|-57.633333
NEC|Necochea|AR|-38.666667|-58.750000
NQN|Neuquen|AR|-38.950000|-68.133333
OVR|Olavarria|AR|-35.700000|-63.000000
ORA|Oran|AR|-23.150000|-64.316667
COR|Cordoba|AR|-31.316667|-64.216667
PRA|Parana|AR|-31.783333|-60.483333
AOL|Paso De Los Libres|AR|-29.683333|-57.150000
PEH|Pehuajo|AR|-35.800000|-61.883333
PMQ|Perito Moreno|AR|-46.535000|-70.983333
PSS|Posadas|AR|-27.416667|-55.950000
PRQ|Pres. Roque Saenz Pena|AR|-26.766667|-60.266667
PUD|Puerto Deseado|AR|-47.716667|-65.916667
RCQ|Reconquista|AR|-29.183333|-59.700000
RES|Resistencia|AR|-27.466667|-58.983333
RCU|Rio Cuarto|AR|-33.100000|-64.266667
RGA|Rio Grande|AR|-53.783333|-67.766667
RHD|Rio Hondo|AR|-27.466667|-64.916667
ROY|Rio Mayo|AR|-45.719444|-70.251389
RYO|Rio Turbio|AR|-51.600000|-72.216667
SZQ|Saenz Pena|AR|-34.616667|-58.533333
OES|San Antonio Oeste|AR|-40.733333|-64.933333
UAQ|San Juan|AR|-31.600000|-68.550000
ULA|San Julian|AR|-49.300000|-67.750000
LUQ|San Luis|AR|-33.266667|-66.333333
AFA|San Rafael|AR|-34.583333|-68.400000
RZA|Santa Cruz|AR|-50.033333|-68.583333
SFN|Santa Fe|AR|-31.716667|-60.816667
RSA|Santa Rosa|AR|-36.616667|-64.283333
SST|Santa Teresita|AR|-35.266667|-59.633333
SDE|Santiago Del Estero|AR|-27.766667|-64.283333
SGV|Sierra Grande|AR|-41.500000|-65.350000
TDL|Tandil|AR|-37.233333|-59.216667
TTG|Tartagal|AR|-26.216667|-64.150000
VCF|Valcheta|AR|-40.700000|-66.150000
RLO|Merlo|AR|-32.350000|-65.033333
VDM|Viedma|AR|-40.850000|-63.016667
VDR|Villa Dolores|AR|-31.950000|-65.150000
VLG|Villa Gesell|AR|-38.016667|-57.583333
VME|Villa Mercedes|AR|-33.633333|-65.416667
APZ|Zapala|AR|-38.916667|-70.083333
LWN|Gyoumri|AM|40.716667|43.833333
EVN|Yerevan|AM|40.147222|44.395833
AUA|Aruba|AW|12.500000|-70.016667
VCD|Victoria River Downs|AU|-16.405000|131.003333
ABG|Abingdon|AU|-17.666667|143.200000
ADL|Adelaide|AU|-34.945000|138.530556
XHX|Adelaide|AU|-33.137500|136.303056
AGW|Agnew|AU|-12.150000|142.150000
ALH|Albany|AU|-34.950000|117.800000
ABX|Albury|AU|-36.066667|146.950000
AXL|Alexandria|AU|-19.116667|136.766667
ASP|Alice Springs|AU|-23.800000|133.883333
XHW|Alice Springs|AU|-23.566667|145.800000
ABH|Alpha|AU|-23.700000|146.583333
AYD|Alroy Downs|AU|-19.300000|135.950000
AWN|Alton Downs|AU|-26.483333|139.316667
GTE|Groote Eylandt|AU|-14.000000|136.500000
AMT|Amata|AU|-26.200000|131.116667
RCN|American River|AU|-35.783333|137.783333
AMX|Ammaroo|AU|-21.740000|135.240000
ADO|Andamooka|AU|-30.437778|137.137222
ANZ|Angus Downs|AU|-25.083333|132.166667
AYL|Anthony Lagoon|AU|-18.016667|135.550000
AXC|Aramac|AU|-23.083333|145.250000
